BOSCH easy impact 600,"Online Shop, or give to someone",20,https://www.bosch-diy.com/za/en/p/easyimpact-600-0603133000,
Simfer 4552 Oven 45L,"online shop, or 2nd hand store",30,https://www.hepsiburada.com/simfer-4552-yogurt-yapma-fonksiyonlu-camli-kapak-turbo-beyaz-45-lt-midi-firin-p-HBV00000458OS?magaza=ikonelektronik&utm_source=akakce&utm_medium=cpc&utm_campaign=sc%3Ahb-ecom.sr%3Aakakce.md%3Apricecomp&utm_content=agnm%3Ahb&wt_pc=akakce&adj_t=1fmpah5v_1fmqteof&adj_campaign=akakce&v=1.69.4,Good
Simfer 3010 D Stove,"online shop, or 2nd hand store",50,https://www.hepsiburada.com/simfer-3010-d-ocak-pm-mt53005?utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:dsa.op:purchase.cid:1635355123&utm_content=agid:63152643260&wt_gl=cpc.dsa.camp1635355123adgr63152643260&gad_source=1&gad_campaignid=1635355123&gbraid=0AAAAADOiRoZq6XQGtwQENSTJJYpnDDeBV&gclid=Cj0KCQjw2IDFBhDCARIsABDKOJ4BoyrYq0RPhMS3lk-hAg9a2SRDvBRJ8LfMBAnvtnhWrMU4ZaF0uAIaAqGXEALw_wcB,Good
coffee table + TV table,"online shop, or 2nd hand store",50,,Excellent
Axen 55' TV,"online shop, or 2nd hand store",50,,Excellent
L shape Coach,"online shop, or 2nd hand store",100,,Excellent
Photo Frames,"online shop, or 2nd hand store",0,,Good
bedroom closet and attachments,"online shop, or 2nd hand store",50,,OK
dish washer Vestel Bm 4202 Wifi 4 Programlı,"online shop, or 2nd hand store",200,https://www.pttavm.com/vestel-bm-4202-wifi-4-programli-bulasik-makinesi-p-968824896?utm_source=akakce.com&utm_medium=fiyat-kiyaslama&utm_campaign=akakce&v=1.81.6,Excellent
Fridge Vestel NF45011 402 Lt No-Frost,"online shop, or 2nd hand store",300,https://www.hepsiburada.com/vestel-nf45011-g-402-lt-no-frost-buzdolabi-p-HBCV000064H60P?magaza=Oztekin-Vestel%20Yetkili%20Online%20Bayi&utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:shop.op:purchase.cid:22352421557&utm_content=agid:179672074474&wt_gl=cpc.pmax.camp22352421557adgr000000&gad_source=4&gad_campaignid=22352421557&gbraid=0AAAAADOiRoahBwhHGGtTAj60ZVnyAQRu6&gclid=CjwKCAjwtfvEBhAmEiwA-DsKjnd8_MeSnvaA0UUZkbKo5gyfu2AJ7VT_sTj-9X7co1aC88x8lmwcVBoCuMcQAvD_BwE,Excellent
water boiler,"online shop, or 2nd hand store",20,,Excellent
vacuum cleaner Philips,"online shop, or 2nd hand store",120,https://www.hepsiburada.com/philips-powerpro-compact-fc9323-07-toz-torbasiz-elektrikli-supurge-p-EVPHFC9323?utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:dsa.op:purchase.cid:10778381959&utm_content=agid:142378780989&wt_gl=cpc.dsa.camp10778381959adgr142378780989&gad_source=1&gad_campaignid=10778381959&gbraid=0AAAAADOiRoZn-Q-luC863mrkc_Gw_6aY6&gclid=Cj0KCQjw2IDFBhDCARIsABDKOJ4J9BhijU6x5kPUCBOJvaSgL2In8mwp5-dnSHA_HLDtTOqMnkoe8E4aArfPEALw_wcB,Good
fan,"online shop, or 2nd hand store",10,,Good
air cooler,"online shop, or 2nd hand store",50,https://www.trendyol.com/arcelik/ac-6030-havadar-hava-serinletici-p-43323488,Excellent
Carpts,"online shop, or 2nd hand store",0,,OK
office disk,"online shop, or 2nd hand store",30,,Excellent
work monitor,"online shop, or 2nd hand store",50,https://www.hepsiburada.com/samsung-lf24t450fqrxuf-24-75hz-5ms-hdmi-display-freesync-full-hd-ips-led-monitor-pm-HBC000007NLO0?utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:dsa.op:purchase.cid:15944948818&utm_content=agid:133228666275&wt_gl=cpc.dsa.camp15944948818adgr133228666275&adj_t=1n7a84i6_1nkvqmrk&adj_campaign=15944948818&adj_adgroup=133228666275&gad_source=1&gad_campaignid=15944948818&gbraid=0AAAAADOiRobvxOEnYm40bcf8xGUSHIZQH&gclid=CjwKCAjwtfvEBhAmEiwA-DsKjiCouroqwplTQVfWLvdfHbfHs7m3zzGvXyu66OV5Nory4ypitzzbIBoCoqgQAvD_BwE,Excellent
4 different shelves,"online shop, or 2nd hand store",80,,Excellent
keyboard org + its stand,"online shop, or Give it",120,https://www.zuhalmuzik.com/casio-ct-x700c2-61-tus-piyano-stili-hassasiyetli-standart-org-adaptor-dahil-ct-x700c2,Excellent
office chair,Online shop,80,https://www.adoremobilya.com/techno-rest-file-sirtli-calisma-koltugu-bej-gri-65x110-120x67-cm-gxyxd-3986,Excellent
